                                                                               Virginia Beach Business Listings February 2026
                     Owner Name                                   Trade Name                                              Address                               City    State    Zip    Zip+4    Telephone
BULLZEYE LLC                                    BULLZEYE LLC                                    1819 GALSWORTHY WAY                                    VIRGINIA BEACH    VA     23464   6385    757-277-3374
BWS MASSAGE THERAPY LLC                         PRIMARY CHOICE MASSAGE LLC                      717 QUEENS WAY                                         VIRGINIA BEACH    VA     23454   3428    757-667-0327
C W S ELECTRICAL SERVICE AND REPAIRS LLC        C W S ELECTRICAL SERVICE AND REPAIRS LLC        1304 ROSSINI CT                                        VIRGINIA BEACH    VA     23454   6635    757-737-5980
CAKE ME AWAY LLC                                CAKE ME AWAY LLC                                559 DE LAURA LN                                        VIRGINIA BEACH    VA     23455   5716    757-842-0521
CANON FINANCIAL SERVICES. INC - UBEO LLC        CANON FINANCIAL SERVICES. INC - UBEO LLC        158 GAITHER DR STE 200                                 MOUNT LAUREL      NJ     08054   1716    856-206-1712
                     Owner Name                                  Trade Name Virginia Beach Business Listings February       2026
                                                                                                                      Address               City    State    Zip    Zip+4    Telephone
CAPE HENRY FINISHES LLC                    CAPE HENRY FINISHES LLC                          3712 SURRY RD UNIT B                   VIRGINIA BEACH    VA     23455   1622    757-639-9728
CAPITAL GROUND INC                         CAPITAL GROUND INC                               S7737 ALLBRITE DR # S7737              MERRIMAC          WI     53561   9704    608-469-2140
CAPLE, KRISTEN                             HIGHTIDE HANDMADE                                4001 VIRGINIA BEACH BLVD               VIRGINIA BEACH    VA     23452   1759    716-289-0130
CAPTAIN BUBBLES BALLOON COMPANY LLC        CAPTAIN BUBBLES BALLOON COMPANY LLC              1484 REYNARD DR                        VIRGINIA BEACH    VA     23451   6015    631-338-7790
CATTRADE LLC                               CATTRADE LLC                                     5140 BARDITH CIR                       VIRGINIA BEACH    VA     23455   3857    757-773-4411
CCG LLC                                    KEYSTONE HVAC & CLIMATE SYSTEMS                  212 EXPRESSWAY CT                      VIRGINIA BEACH    VA     23462   6526    757-344-4010
CDN HOME IMPROVEMENTS LLC                  CDN HOME IMPROVEMENTS LLC                        367 HOSPITAL DR                        VIRGINIA BEACH    VA     23452   6741    757-419-4420
CHANNEL YOUR AMBIANCE LLC                  CHANNEL YOUR AMBIANCE LLC                        705 ROXBURY PL APT 202                 VIRGINIA BEACH    VA     23462   1446    980-433-9290
CHESTERFIELD FENCING & MORE LLC            CHESTERFIELD FENCING & MORE LLC                  124 S LYNNHAVEN RD STE 101             VIRGINIA BEACH    VA     23452   7420    804-518-8332
CHOKLIT RESERV LLC                         CHOKLIT RESERV LLC                               3227 LAKECREST RD                      VIRGINIA BEACH    VA     23452   4909    757-966-8878
CHRISTOPHER JAMES HAIR DESIGNS LLC         CHRISTOPHER JAMES HAIR DESIGNS LLC               228 N LYNNHAVEN RD STE 117             VIRGINIA BEACH    VA     23452   0000    757-343-7015
CLARK, DOUGLAS H                           ZENITH BY DESIGN                                 5456 SUMMER CRES                       VIRGINIA BEACH    VA     23462   1963    757-359-5953
CLEAN VIRGINIA WATERWAYS INC               CLEAN VIRGINIA WATERWAYS INC                     1213 LASKIN RD STE 101                 VIRGINIA BEACH    VA     23451   5260    757-800-2305
CLINICAL VOICES LLC                        CLINICAL VOICES                                  626 PINEWOOD DR                        VIRGINIA BEACH    VA     23451   4457    561-502-9484
CLOUD POP SNACK CO LLC                     CLOUD POP SNACK CO LLC                           968 AVERY WAY                          VIRGINIA BEACH    VA     23464   1589    757-589-1343
CO.NEXUS LEDGERS, LLC                      CO.NEXUS LEDGERS LLC                             1220 WIVENHOE CT                       VIRGINIA BEACH    VA     23454   3045    757-963-6611
COBLE DORIS MARIE                          DORIS MARIE COBLE                                2004 SANDBRIDGE RD STE 101             VIRGINIA BEACH    VA     23456   0000    757-512-4129
COLATTAO LLC                               COLATTAO LLC                                     1612 LASKIN RD STE 772                 VIRGINIA BEACH    VA     23451   6197    305-979-4882
COMFORTABLE HOMES LLC                      COMFORTABLE HOMES LLC                            303 ATLANTIC AVE APT 1002              VIRGINIA BEACH    VA     23451   3652    804-852-2847
COMPTON COUNTS INC.                        PC&A BUSINESS ENVIRONMENTS                       5813 WARD CT                           VIRGINIA BEACH    VA     23455   3312    757-623-7760
CONNECTING THE STEPS LLC                   CONNECTING THE STEPS LLC                         1446 KEMPSVILLE RD STE 203             VIRGINIA BEACH    VA     23464   7300    757-639-7919
COSMETBRIDGET LLC                          COSMETBRIDGET LLC                                5705 LYNNHAVEN PKWY STE 107            VIRGINIA BEACH    VA     23464   0000    757-635-0120
CRITTERS SITTERS AND BEYOND LLC            CRITTER SITTERS AND MORE                         1205 BERWYN RD                         VIRGINIA BEACH    VA     23464   6026    540-222-6762
CRYSTAL LIORA DESIGNS, LLC                 CRYSTAL LIORA DESIGNS LLC                        4001 VIRGINIA BEACH BLVD               VIRGINIA BEACH    VA     23452   1759    757-635-3185
CUSIC, DAWN L                              DD CUSIC                                         5808 BEECHWALK DR                      VIRGINIA BEACH    VA     23464   5001    757-287-3252
DAR ENTERPRISES LLC                        SELL YOUR GADGETS                                3776 VIRGINIA BEACH BLVD               VIRGINIA BEACH    VA     23452   3414    347-245-4233
DARK HORSE PERFORMANCE LLC                 DARK HORSE PERFORMANCE                           3056 BRESLAW CT                        VIRGINIA BEACH    VA     23453   3213    757-967-1619
DAVISON, PIYASUK L                         PIYASUK L DAVISON                                1860 LASKIN RD STE 114                 VIRGINIA BEACH    VA     23454   4535    757-525-5819
DEOMANIA, GLENDARICA G                     MECATANI                                         800 HOLLADAY LN                        VIRGINIA BEACH    VA     23455   5727    757-300-7493
DILLON DIGITAL DYNAMICS, LLC               DILLON DIGI                                      1605 BODIE CT                          VIRGINIA BEACH    VA     23456   4869    757-219-2123
DISH WIRELESS RETAIL PURCHASING LLC        DISH WIRELESS RETAIL PURCHASING LLC              1768 LASKIN RD                         VIRGINIA BEACH    VA     23454   4503    720-514-6816
DIT4E, LLC                                 DIT4E, LLC                                       2300 BEACH HAVEN DR APT 303            VIRGINIA BEACH    VA     23451   1244    757-404-0867
DIVINE FLOW AESTHETICS LLC                 DIVINE FLOW AESTHETICS                           3623 VIRGINIA BEACH BLVD STE 2         VIRGINIA BEACH    VA     23452   3418    757-717-3402
DLC ELECTRICAL CONTRACTORS LLC             DLC ELECTRICAL CONTRACTORS LLC                   1269 TWEEDBROOK PL                     VIRGINIA BEACH    VA     23452   4633    757-355-3847
DOLLAR TREE STORES INC                     DOLLAR TREE #10985                               1177 S ROSEMONT RD                     VIRGINIA BEACH    VA     23453   2152    757-321-5000
DORSET DESIGN, LLC                         DORSET DESIGN, LLC                               120 BONNIE LEE DR                      NORTHFIELD        NJ     08225   2502    609-517-2189
DOWNTAIN, SEAN                             SEAN DOWNTAIN                                    1313 SHARBOT DR                        VIRGINIA BEACH    VA     23464   8686    757-724-3070
DRYE, DEBORAH D                            DEBORAH D DRYE                                   1650 GENERAL BOOTH BLVD #105A          VIRGINIA BEACH    VA     23454           757-652-4957
E. H. GLOVER INC                           HIGH TEMPERATURE LININGS                         PO BOX 1240                            WHITE STONE       VA     22578   1240    800-411-6313
EARTHTONES MOVEMENT LLC                    EARTHTONES HOLISTIC EXPERIENCE                   249 CENTRAL PARK AVE STE 300-70        VIRGINIA BEACH    VA     23462   3271    757-917-0686
EAST WEST VENTURES LLC                     UPWARD BUSINESS SOLUTIONS                        619 JACK RABBIT RD STE 101             VIRGINIA BEACH    VA     23451   6127    323-356-6986
EASTCOAST MARINE REPAIR LLC                EASTCOAST MARINE REPAIR LLC                      2905 HOLM OAK CT                       VIRGINIA BEACH    VA     23453   2937    619-327-3064
EASTERN FABRICATION INC.                   EASTERN FABRICATION INC.                         704 BAY COLONY DR                      VIRGINIA BEACH    VA     23451   3826    757-536-5655
ECO COMMERICAL CONSTRUCTION LLC            ECO COMMERICAL CONSTRUCTION LLC                  5300 WESTVIEW DR STE 305               FREDERICK         MD     21703   8374    410-320-1882
EIP HOLDINGS II, LLC                       EIP HOLDINGS II, LLC                             4221 PLEASANT VALLEY RD                VIRGINIA BEACH    VA     23464   0000    412-482-3423
EL GATO VERDE LLC                          EL GATO VERDE LLC                                1624 LASKIN RD #748                    VIRGINIA BEACH    VA     23451   0000    757-739-9259
ELAINE GRACE TREATS LLC                    ELAINE GRACE TREATS LLC                          1068 RITTMAN RD                        VIRGINIA BEACH    VA     23464   5545    757-971-7708
ELEMENTAL HEALING 365 LLC                  ELEMENTAL HEALING 365 LLC                        1001 TAYLOR RD                         VIRGINIA BEACH    VA     23464   5359    757-620-1539
ELITE OFFICE SUITES LLC                    ELITE OFFICE SUITES LLC                          317 OFFICE SQUARE LN STE A201          VIRGINIA BEACH    VA     23462   3652    757-535-9679
EMERGENCY RESTORATION SERVICES LLC         EMERGENCY RESTORATION SERVICES LLC               2433 CASTLETON COMMERCE WAY STE 102    VIRGINIA BEACH    VA     23456   5497    757-775-6911
ENDOR ENTERPRISES LLC                      ENDOR ENTERPRISES LLC                            2309 TIERRA MONTE ARCH                 VIRGINIA BEACH    VA     23456   6762    757-615-9148
ESIS TACTICAL ASSEMBLY & ALTERATIONS LLC   ESIS TACTICAL ASSEMBLY & ALTERATIONS LLC         3250 MANOR GLENN CT                    VIRGINIA BEACH    VA     23453   3027    757-309-1071
ETERNO INC                                 ETERNO INC                                       5041 CORPORATE WOODS DR                VIRGINIA BEACH    VA     23462   0000    703-853-5645
ETHEREAL TOUCH, LLC                        ETHEREAL TOUCH, LLC                              900 COMMONWEALTH PL 200-342            VIRGINIA BEACH    VA     23464   0000    434-483-1081
EVEN STILL COMPANY LLC                     EVEN STILL CO                                    904 PILLOW DR                          VIRGINIA BEACH    VA     23454   2625    301-717-9108
FANTASCI LITERARY SOCIETY                  FANTASCI LITERARY SOCIETY                        3309 BARCELONA CT                      VIRGINIA BEACH    VA     23452   5313    757-272-2598
FARLEY, JAN D                              COTTAGE ROW HANDMADE                             709 10TH ST                            VIRGINIA BEACH    VA     23451   4524    757-635-4004
FC HIGH PERFORMANCE LLC                    FC HIGH PERFORMANCE LLC                          5045 ADMIRAL WRIGHT RD STE 235         VIRGINIA BEACH    VA     23462   2523    757-778-9122
FEAST FIRM LLC                             POTBELLY                                         1170 AMPHIBIOUS DR                     VIRGINIA BEACH    VA     23459   8620    702-830-3613
                     Owner Name                                  Trade Name Virginia Beach Business Listings February       2026
                                                                                                                      Address               City    State    Zip    Zip+4    Telephone
FINKS JEWELERS INC                           FINKS JEWELERS INC                             1612 LASKIN RD STE 776                 VIRGINIA BEACH    VA     23451   0000    757-640-1132
FORBES, BRETT                                BRETT FORBES                                   438 MARSH DUCK WAY                     VIRGINIA BEACH    VA     23451   6556    757-793-1415
FORGE HOME RECOVERY LLC                      APEX ATHLETE SUPPLY                            1608 MOORES LN                         VIRGINIA BEACH    VA     23455   4424    757-339-7465
FOUNDATIONS THROUGH KNOWLEDGE INCORPORATED   FOUNDATIONS THROUGH KNOWLEDGE INCORPORATED 1196 GREEN GARDEN CIR                      VIRGINIA BEACH    VA     23453   2343    914-483-8625
FOXRED LLC                                   FOXRED LLC                                     2813 RIVER RD                          VIRGINIA BEACH    VA     23454   1207    757-448-7261
FREEMAN KEVIN MCCARTHY                       KEVIN MCCARTHY FREEMAN                         1101 GAMSTON LN                        VIRGINIA BEACH    VA     23455   6891    757-652-5248
FRISSORA FUNCTIONAL WELLNESS PLLC            FRISSORA FUNCTIONAL WELLNESS                   2517 NEW KENT ST                       VIRGINIA BEACH    VA     23456   2457    508-740-8437
FROST SARA GABRIELLE                         SARA FROST                                     2631 COVE POINT PL                     VIRGINIA BEACH    VA     23454   3276    201-400-6805
FROTH LLC                                    FROTH                                          572 WATER OAK RD                       VIRGINIA BEACH    VA     23452   2147    757-995-4119
G A R CONTRACTORS, INC.                      G A R CONTRACTORS, INC.                        9104 MANASSAS DR STE Q                 MANASSAS PARK     VA     20111   5211    703-862-9776
GENESIS HOMES CONSTRUCTION LLC               GENESIS HOMES CONSTRUCTION LLC                 809 ADMISSIONS CT                      VIRGINIA BEACH    VA     23462   1049    678-287-9802
GIGMATIX MUSIC GROUP, LLC                    GIGMATIX MUSIC GROUP, LLC                      1008 COASTAWAY DR                      VIRGINIA BEACH    VA     23451   5119    757-618-9126
GLEAM HOUSE CLEANING SERVICES LLC            GLEAM HOUSE CLEANING SERVICES LLC              317 OFFICE SQUARE LN STE A201          VIRGINIA BEACH    VA     23462   3652    757-535-9679
GOD IS ABLE LAWN SERVICE LLC                 GOD IS ABLE LAWN SERVICE LLC                   5557 WAR ADMIRAL RD                    VIRGINIA BEACH    VA     23462   4043    757-237-1789
GOLDEN BOY BREAD LLC                         GOLDEN BOY BREAD LLC                           1608 CARMA CT                          VIRGINIA BEACH    VA     23454   5707    972-740-7998
GOODGOOD STUDIO LLC                          GOODGOOD STUDIO, LLC                           1201 LASKIN RD STE 200                 VIRGINIA BEACH    VA     23451   5200    714-955-1938
GOS VIRGINIA BEACH PLLC                      GOS VIRGINIA BEACH PLLC                        837 FIRST COLONIAL RD STE A            VIRGINIA BEACH    VA     23451   6195    757-540-6621
GREENFITNUT LLC                              GREENFITNUT LLC                                2355 NOTTOWAY LN                       VIRGINIA BEACH    VA     23456   6991    757-478-3949
GROCERY OUTLET BARGAIN MARKET INC            GROCERY OUTLET #821                            897 LYNNHAVEN PKWY                     VIRGINIA BEACH    VA     23452   7203    510-304-9905
GUIDING HANDS HOME HEALTH CARE               GUIDING HANDS HOME HEALTH CARE                 313 OFFICE SQUARE LN STE 200 UNIT F    VIRGINIA BEACH    VA     23462   3657    757-835-8045
GUISHARD'S LLC                               GUISHARD'S LLC                                 429 TROON CHASE                        VIRGINIA BEACH    VA     23462   4477    347-221-6709
HAIR2DYE4 SUITES LLC                         HAIR2 DYE 4 SUITES                             315 N GREAT NECK RD STE 116            VIRGINIA BEACH    VA     23454   4073    678-951-5651
HAMPTON ROADS HAIRCUT LLC                    HAMPTON ROADS HAIRCUT LLC                      523 HILLTOP PLAZA SC STE 34            VIRGINIA BEACH     VI    23454   0000    757-738-0771
HANSON MARINE CONSTRUCTION LLC               HANSON MARINE CONSTRUCTION LLC                 4617 BACKWOODS RD                      CHESAPEAKE        VA     23322   2456    757-751-2553
HARRELL & HARRELL INC                        JR MARKET #53                                  1756 SANDBRIDGE RD                     VIRGINIA BEACH    VA     23456   4061    757-855-1616
HCE OF VIRGINIA INC.                         HCE OF VIRGINIA INC                            8900 MONGO WAY                         MECHANICSVILLE    VA     23116   5887    804-735-9308
HEARTLAND DENTAL LLC                         HEARTLAND DENTAL LLC                           1635 LASKIN RD                         VIRGINIA BEACH    VA     23451   6113    217-427-8058
HELENA'S PLACE LLC                           HELENA'S PLACE LLC                             3616 KINGDOM CT                        VIRGINIA BEACH    VA     23452   3202    757-816-7987
HENRY JOSEPH STARNES                         MID EASTERN CUSTOM RODS                        417 PHILBATE TER                       VIRGINIA BEACH    VA     23452   5709    757-621-8000
HH1 ENTERPRISES LLC                          BEEM LIGHT SAUNA                               4576 COLUMBUS ST                       VIRGINIA BEACH    VA     23462   0000    434-532-5036
HODGES, CHRISTA T                            DOLLY’S TREATS                                 361 REFLECTIONS DR APT 203             VIRGINIA BEACH    VA     23452   8345    757-506-2907
HOLDER INC                                   MELTING POT THE                                1564 LASKIN RD STE 182                 VIRGINIA BEACH    VA     23451   6187    757-425-3463
HOLY COLD PRESSED JUICE SHOP LLC             HOLY COLD PRESSED JUICE SHOP LLC               611 18TH ST                            VIRGINIA BEACH    VA     23451   0000    757-880-8639
HOME REMEDIES LLC                            HOME REMEDIES LLC                              4001 VIRGINIA BEACH BLVD               VIRGINIA BEACH    VA     23452   1759    757-937-0827
HW POWERSPORTS LLC                           BEACH POWERSPORTS, VIRGINIA BEACH WATERCRAFT   3716 SHORE DR                          VIRGINIA BEACH    VA     23455   2922    757-660-1253

