                                                                Virginia Beach Business Listings January 2026
                    Owner Name                                   Trade Name                                    Address                    City    State    Zip    Zip+4    Telephone
ANCHORED COFFEE LLC                         ANCHORED COFFEE LLC                                2113 BROADACRES CT                VIRGINIA BEACH   VA      23453   7331    407-451-8289
ARGOSY ELECTRIC INC                         ARGOSY ELECTRIC INC                                112 PRODUCTION DR                 YORKTOWN         VA      23693   4024    757-223-7779
ARISA MEDICAL, LLC                          ARISA MEDICAL LLC                                  760 LYNNHAVEN PKWY STE 107        VIRGINIA BEACH   VA      23452   7325    248-736-7287
ARMED SERVICES YMCA OF THE USA              ARMED SERVICES YMCA CHILD DEVELOPMENT CENTER, VB   3629 SENTARA WAY                  VIRGINIA BEACH   VA      23452   4260    410-336-2902
ARNOLD, CHRISTOPHER M                       CHRISTOPHER M ARNOLD                               1628 NADER ST                     VIRGINIA BEACH   VA      23464   6611    717-398-5719
ASHLEY & J’S TRINITY CLEANING SERVICE LLC   ASHLEY & J’S TRINITY CLEANING SERVICE LLC          208 S BUDDING AVE APT 204         VIRGINIA BEACH   VA      23452   1317    757-208-8771
AT HOME APPLIANCE RENTAL LLC                AT HOME APPLIANCE RENTAL LLC                       2110 MARINA SHORES DR APT 320     VIRGINIA BEACH   VA      23451   6853    757-943-8743
ATLANTIC DENTAL CARE PLC                    INDIAN ROVER DENTAL-DIVISON OF ADC,PLC             5333 INDIAN RIVER RD              VIRGINIA BEACH   VA      23464   5320    757-687-9166
ATLAS 17TH INC                              17TH STREET SAL'S PIZZA                            1710 ATLANTIC AV                  VIRGINIA BEACH   VA      23451           757-981-5859
AUDETTE BRIAN JOSEPH                        BRIAN JOSEPH AUDETTE                               1089 LANDS END WAY                VIRGINIA BEACH   VA      23451   6555    757-663-1819
AVENUE OF PRAISE MUSIC LLC                  AVENUE OF PRAISE MUSIC                             1601 ELLSBERG CT                  VIRGINIA BEACH   VA      23464   6607    757-776-2673
AYMER ERIC ALBERT                           GET STUFFED VB                                     712 ATLANTIC AVE                  VIRGINIA BEACH   VA      23451   3526    757-635-9941
B&B CARDS LLC                               B&B SPORT CARDS                                    4239 HOLLAND RD STE 792           VIRGINIA BEACH   VA      23452   1941    757-495-5523
BABY2BABY RENTALS LLC                       BABY2BABY RENTALS                                  713 OAK HURST CT                  VIRGINIA BEACH   VA      23462   7141    757-295-8995
BAH-HUM-BUG GENERAL CONTROL SOLUTIONS LLC   BAH-HUM-BUG GENERAL CONTROL SOLUTIONS              417 24TH ST APT 9                 VIRGINIA BEACH   VA      23451   3264    757-235-5616
BARBIE'S BAKESHOPPE, LLC                    BARBIE'S BAKESHOPPE, LLC                           719 12TH ST                       VIRGINIA BEACH   VA      23451   4308    757-718-0111
BATTON, AMANDA B                            STUDIO BELLE VIE                                   3613 VIRGINIA BEACH BLVD STE 2    VIRGINIA BEACH   VA      23452   0000    757-737-2981
BAYSIDE POWER                               BAYSIDE POWER                                      5226 INDIAN RIVER RD STE 101      VIRGINIA BEACH   VA      23464   6179    757-692-5858
BAYVIEW PLUMBING SERVICES LLC               BAYVIEW PLUMBING SERVICES LLC                      2500 PERFORMANCE CT # 200         VIRGINIA BEACH   VA      23453   0000    757-239-9365
BE REAL IMAGING LLC                         BR REAL IMAGING LLC                                2373 HUCKLEBERRY TRL              VIRGINIA BEACH   VA      23456   6007    757-679-5490
BEACH EPOXY PROS LLC                        BEACH EPOXY PROS LLC                               2805 SHIFLETT CT                  VIRGINIA BEACH   VA      23453   3317    757-818-5086
BEACH ESTATE PROPERTY MANAGEMENT LLC        BEACH ESTATE PROPERTY MANAGEMENT LLC               1736 BALTIC AVE                   VIRGINIA BEACH   VA      23451   3451    757-300-7944
BEACH SAINT-GERMAIN FC, LLC                 BEACH SAINT-GERMAIN FC                             969 EARL OF ESSEX ARCH            VIRGINIA BEACH   VA      23454   2924    301-213-7647
BEACHSIDE DISPOSAL LLC                      BEACHSIDE DISPOSAL                                 2472 KERR DR                      VIRGINIA BEACH   VA      23454   6581    757-646-1247
BEAUTY BY BELLA LLC                         BEAUTY BY BELLA LLC                                1337 OCEANA BLVD STE 140          VIRGINIA BEACH   VA      23454   5508    570-362-1465
BEESON, SABRINA J                           STITCHES X SABRINA                                 456 BARCELONA LN                  VIRGINIA BEACH   VA      23452   5324    904-629-1160
BEFTRAN SUZETTE SPECIAL                     SPECIAL SUZETTE BELTRAN                            5705 LYNNHAVEN PKWY STE 107       VIRGINIA BEACH   VA      23464   0000    319-541-9635
BEHL ORTHODONTICS PLLC                      BEHL ORTHODONTICS TOWN CENTER                      125 INDEPENDENCE BLVD STE 300     VIRGINIA BEACH   VA      23462   6705    757-224-3004
BEYOND SUNDAYS MAGAZINE LLC                 BEYOND SUNDAYS                                     4456 HUDGINS DR                   VIRGINIA BEACH   VA      23455   6453    321-557-4341
BLACK LABEL ASSOCIATES LLC                  BLACK LABEL PLUMBING                               1505 BLACKBOARD DR                CHESAPEAKE       VA      23322   1707    757-602-0090
BLACK PEARL FINANCIAL LLC                   BLACK PEARL FINANCIAL LLC                          4605 PEMBROKE LAKE CIR STE 108    VIRGINIA BEACH   VA      23455   0000    757-901-8004
BLACKBIRDS WING LLC                         BLACKBIRDSWING, LLC                                3300 ARCTIC AVE                   VIRGINIA BEACH   VA      23451   2913    757-639-0923
BLESS THE TWO HANDS TOUCH LLC               BLESS THE TWO HANDS TOUCH LLC                      213 CONSUL AVE                    VIRGINIA BEACH   VA      23462   3511    757-816-3541
BLISS EVENT RENTALS LLC                     BLISS EVENT RENTALS                                3813 ROPE LN                      VIRGINIA BEACH   VA      23452   2527    757-392-6300
BLOUNT INTEGRATION TECHNOLOGIES, INC        BLOUNT INTEGRATION TECHNOLOGIES, INC               213 AIR STATION DR                VIRGINIA BEACH   VA      23454   4456    757-602-3859
BLUE WHEELS LLC                             BLUE WHEELS LLC                                    900 COMMONWEALTH PL STE 213       VIRGINIA BEACH   VA      23464   0000    757-982-5643
BODRAE CORP                                 TOUS LES JOURS                                     550 FIRST COLONIAL RD # 400B      VIRGINIA BEACH   VA      23451   6120    757-642-1998
BONNEL ALEXANDRIA                           ALEXANDRIA BONNEL                                  3061 BRICKHOUSE CT STE 103        VIRGINIA BEACH   VA      23452   6855    240-300-0067
BOOKER'S TRAVEL AND TOURS LLC               BOOKER'S TRAVEL AND TOURS LLC                      4432 BONNEY RD UNIT 301           VIRGINIA BEACH   VA      23462   3893    708-714-6456
BOSPHORUS CLEANING LLC                      BOSPHORUS CLEANING LLC                             402 BILTMORE CT                   VIRGINIA BEACH   VA      23454   3459    667-450-0147
BOX AWAY LLC                                BOX AWAY LLC                                       2021 RIPPLING ROCK DR             VIRGINIA BEACH   VA      23456   5866    757-705-6498
BRUNO LLC                                   BRUNO CARES                                        2333 SEABOARD RD                  VIRGINIA BEACH   VA      23456   3534    757-282-1355
                    Owner Name                                       Trade Name
                                                                     Virginia                                    Address
                                                                              Beach Business Listings January 2026                                 City    State    Zip    Zip+4    Telephone
BUDDY AND CO SHOP LLC                            BUDDY AND CO SHOP LLC                             4001 VIRGINIA BEACH BLVD               VIRGINIA BEACH   VA      23452   1759    714-864-1219
BUSBY PRECISION PEST AND DAMANGE CONTROL LLC     BUSBY PRECISION PEST AND DAMANGE CONTROL LLC      741 HOLLADAY LN                        VIRGINIA BEACH   VA      23455   5724    757-918-1871
BUTTPLUGS FOR DEMOCRACY LLC                      BUTTPLUGS FOR DEMOCRACY LLC                       4552 PICASSO DR                        VIRGINIA BEACH   VA      23456   5027    760-709-0995
C2 PHYSICAL THERAPY, PLLC                        C2 PHYSICAL THERAPY, PLLC                         1320 YAWL PT                           VIRGINIA BEACH   VA      23454   2041    804-382-0765
CAROZZONI RICHARD                                RICHARD CAROZZONI                                 3317 WOODSMAN LN                       VIRGINIA BEACH   VA      23452   5226    757-576-8540
CARRILLO LANDSCAPING SERVICES LLC                CARRILLO LANDSCAPING SERVICES LLC                 5709 WALTMAR DR                        VIRGINIA BEACH   VA      23464   3969    757-944-7802
CASHWELL, ROBYN H                                THERAGGEDROBYN                                    4001 VIRGINIA BEACH BLVD               VIRGINIA BEACH   VA      23452   1759    757-237-5495
CELTIC LEGACY LLC                                CELTIC LEGACY LLC                                 4001 VIRGINIA BEACH BLVD               VIRGINIA BEACH   VA      23452   1759    804-980-5697
CHELSEA MARIE LLC                                VIRGINIA BEACH STUDIOS                            1505 TAYLOR FARM RD STE 404            VIRGINIA BEACH   VA      23453   3099    757-439-3792
CIRCLE Z SMOKE SHOP LLC                          CIRCLE Z SMOKE SHOP LLC                           5767 PRINCESS ANNE RD                  VIRGINIA BEACH   VA      23462   3224    929-494-7408
CLAW FACTORY LLC                                 THE CLAW FACTORY                                  2728 N MALL DR STE 102                 VIRGINIA BEACH   VA      23452   7212    646-709-6678
CLEAN ANCHOR BY YULI LLC                         CLEAN ANCHOR BY YULI LLC                          1991 MILL CREEK DR                     VIRGINIA BEACH   VA      23456   4978    502-708-8744
CLEMENT, JOSEPH                                  JOSEPH CLEMENT                                    508 MEDITERRANEAN AVE                  VIRGINIA BEACH   VA      23451   4630    848-459-5210
COAST TO COAST APPRAISALS LLC                    COAST TO COAST APPRAISALS LLC                     283 CONSTITUTION DR 1 COLUMBUS CTR STE VIRGINIA BEACH   VA      23462   0000    757-638-8336
COASTAL CARE AT LITTLE NECK LLC                  COATAL CARE AT LITTLE NECK LLC                    3505 SEA GULL RD                       VIRGINIA BEACH   VA      23452   3715    757-773-6081
COASTAL CARE KEMPSVILLE LLC                      COASTAL CARE KEMPSVILLE LLC                       5301 PARLIAMENT DR                     VIRGINIA BEACH   VA      23462   3552    757-773-6081
COASTAL ELECTRICAL SERVICE, IN                   COASTAL ELECTRICAL SERVICE INC                    9224 INLET RD                          NORFOLK          VA      23503   3237    757-630-2845
COASTAL NEURO SPEECH SERVICES PLLC               COASTAL NEURO SPEECH SERVICES PLLC                1064 HAWTHORNE FARM TER                VIRGINIA BEACH   VA      23454   6586    757-880-9057
COASTAL PERFORMANCE PHYSICAL THERAPY PLLC        COASTAL PERFORMANCE PHYSICAL THERAPY              5301 PROVIDENCE RD STE 80              VIRGINIA BEACH   VA      23464   4128    757-572-1638
COASTAL ROOTS LANDSCAPE & DESIGN LLC             COASTAL ROOTS LANDSCAPE & DESIGN LLC              3488 WEST NECK RD                      VIRGINIA BEACH   VA      23456   3811    757-719-0712
COLORFLOW SKATING LLC                            COLORFLOW SKATING LLC                             513 GLENEAGLE DR                       VIRGINIA BEACH   VA      23462   4510    757-201-8741
COMORT SOLUTIONS OF TIDEWATER LLC                COMFORT SOLUTIONS OF TIDEWATER LLC                236 CLEARFIELD AVE STE 204             VIRGINIA BEACH   VA      23462   0000    757-673-6281
COMPASSIONATE TRANSITION HOUSING SOLUTIONS LLC   COMPASSIONATE TRANSITION HOUSING SOLUTIONS LLC    2 CONSTITUTION DR STE 101              VIRGINIA BEACH   VA      23462   3456    888-594-4063
CONNECTXALMA LLC                                 CONNECTXALMA                                      4619 OCEAN VIEW AVE UNIT A             VIRGINIA BEACH   VA      23455   0000    757-434-8079
CONTOUR MEDICAL AESTHETICS, LLC                  CONTOUR MEDICAL AESTHETICS, LLC                   523 HILLTOP PLZ STE 14                 VIRGINIA BEACH   VA      23454   4501    304-552-6757
COVERT HAIR LLC                                  COVERT HAIR LLC                                   523 HILLTOP PLZ STE 8                  VIRGINIA BEACH   VA      23454   4501    757-615-8830
CPVA MANAGEMENT, INC.                            CPVA MANAGEMENT, INC                              3061 BRICKHOUSE CT STE 109             VIRGINIA BEACH   VA      23452   6855    804-378-5000
CROCHETO LLC                                     CROCHETO LLC                                      4001 VIRGINIA BEACH BLVD               VIRGINIA BEACH   VA      23452   1759    904-910-3593
CRUMP PAUL ANTHONY JOHN                          PAUL ANTHONY JOHN CRUMP                           403 23 1/2 ST                          VIRGINIA BEACH   VA      23451   3249    805-212-5209
CTS MOBILE MECHANIC LLC                          CTS MOBILE MECHANIC LLC                           1789 RIVER ROCK ARCH                   VIRGINIA BEACH   VA      23456   6155    757-362-5533
CULLINDELL LLC                                   CULLINDELL LLC                                    2511 S MILITARY HWY                    CHESAPEAKE       VA      23320   6085    843-222-5250
D&J OPERATIONS LLC                               D&J AUTO                                          4911 POTOMAC ST                        VIRGINIA BEACH   VA      23462   5308    407-907-4839
D. J. AND D. PROFESSIONAL SERVICES LLC           D. J. AND D. PROFESSIONAL SERVICES LLC            3825 FOREST GLEN RD                    VIRGINIA BEACH   VA      23452   2940    757-748-0331
DAILYDISTRACTIONSCO                              DAILYDISTRACTIONSCO                               5092 GATEHOUSE WAY                     VIRGINIA BEACH   VA      23455   2564    757-679-9355
DANA M CAUDLE                                    KNOTTY BY DESIGN                                  4001 VIRGINIA BEACH BLVD               VIRGINIA BEACH   VA      23452   1759    757-285-0293
DANI DOMINIQUE HAIR STUDIO LLC                   DANI DOMINIQUE HAIR STUDIO LLC                    5302 PROVIDENCE RD                     VIRGINIA BEACH   VA      23464   4102    757-289-4300
DANYLIUK, ANNA                                   ANNA DANYLIUK                                     5100 EGHAM CT                          VIRGINIA BEACH   VA      23464   6218    757-717-8331
DAVID ALLEN                                      ALLEN & ALLEN HOME EXTERIORS REMODELING           3101 CAPE ANN WAY APT 902              VIRGINIA BEACH   VA      23453   0000    757-556-8539
DAVIDIC DYNASTY PLUMBING LLC                     DAVIDIC DYNASTY PLUMBING LLC                      423 S LYNNHAVEN RD STE 104             VIRGINIA BEACH   VA      23452   6655    757-352-7787
DEMO DADS LLC                                    DEMO DADS LLC                                     677 RAFF CT                            VIRGINIA BEACH   VA      23462   2113    703-499-5184
DENYS DIAZ CONSULTING LLC                        DENYS DIAZ CONSULTING LLC                         3104 SHARPIE CT                        VIRGINIA BEACH   VA      23456   3454    757-788-9984
DIAMOND PEPTIDES LLC                             DIAMOND PEPTIDES LLC                              2813 KINGSFIELD DR                     VIRGINIA BEACH   VA      23456   0000    252-562-5438
DIEGO BISPO ACADEMY LLC                          DIEGO BISPO ACADEMY                               509 VIKING DR STE J                    VIRGINIA BEACH   VA      23452   0000    757-805-6766
DIONISIO, MARIA L                                SENIOR HOMECARE                                   4841 BAXTER RD                         VIRGINIA BEACH   VA      23462   4403    757-334-4194
DIVERSIFIED HOSPITALITY SERVICES, LLC            DIVERSIFIED HOSPITALITY SERVICES                  3288 PAGE AVE APT 404                  VIRGINIA BEACH   VA      23451   1029    757-409-2645
DONOVAN, JOSEPH L                                DONOVAN, JOSEPH L                                 525 13TH ST # B                        VIRGINIA BEACH   VA      23451   4312    757-618-2200
DOYLE, ANDREW                                    FISHNET INK                                       3844 FOREST GLEN RD                    VIRGINIA BEACH   VA      23452   2941    757-374-3949
DRBOONS, PLLC                                    DRBOONS, PLLC                                     2208 KNORR CT                          VIRGINIA BEACH   VA      23455   1676    714-614-7207
DREAVA HEALTH, LLC                               DREAVA HEALTH LLC                                 1624 LASKIN RD STE 140-G               VIRGINIA BEACH   VA      23451   0000    757-589-1434
DRIP BAR RVA LLC                                 THE DRIPBAR                                       3376 PRINCESS ANNE RD STE 207          VIRGINIA BEACH   VA      23456   2618    804-387-7880
DSA JEWELRY AND GIFTS LLC                        DSA JEWELRY AND GIFTS LLC                         610 NORFOLK AVE                        VIRGINIA BEACH   VA      23451   4419    757-937-0827
DUFEL, MARYSSA M                                 THRIVE                                            1290 DIAMOND SPRINGS RD                VIRGINIA BEACH   VA      23455   3701    518-775-7774
EBBS AND FLOWS CANDLE CO., LLC                   EBBS AND FLOWS CANDLE CO., LLC                    4001 VIRGINIA BEACH BLVD               VIRGINIA BEACH   VA      23452   1759    757-404-1695
ELEGANT ESTHETICS LLC                            ELEGANT ESTHETICS                                 1612 LASKIN RD #774B118                VIRGINIA BEACH   VA      23454   0000    469-471-8725
ELEVATED OUTDOOR LIVING LLC                      ELEVATED OUTDOOR LIVING LLC                       3805 BIG BEAR CT                       VIRGINIA BEACH   VA      23456   4929    757-753-3890
ELITE FUTBOL TRAINING, LLC                       ELITE FUTBOL TRAINING                             4105 INVERNESS RD APT 201              VIRGINIA BEACH   VA      23452   1618    408-841-2995
ELITE URBAN GOLF LLC                             ELITE URBAN GOLF LLC                              144 BUSINESS PARK DR STE 102           VIRGINIA BEACH   VA      23462   6527    757-270-9864
ELLIS, RAYMOND A & ELLIS, KRYSTAL D              7 CITIES TEES & GRAPHIXS                          5949 ARETHA PL APT 211                 VIRGINIA BEACH   VA      23455   3982    757-718-1833
ENCHANTED REALMS CO LLC                          ENCHANTED REALMS CO LLC                           4001 VIRGINIA BEACH BLVD               VIRGINIA BEACH   VA      23452   1759    757-371-4948
ENGLISH LEGACY MONUMENT & STONE CARE, LLC        ENGLISH LEGACY MONUMENT & STONE CARE LLC          5433 BROOKFIELD DR                     VIRGINIA BEACH   VA      23464   7816    757-288-8925
ESCARIO ENTERPRISES LLC                          ARCTOS STRATEGIES                                 917 THORNHILL PL                       VIRGINIA BEACH   VA      23462   5218    757-348-1093
ESPRESSOPAY INC                                  ESPRESSOPAY INC                                   503 27TH ST                            VIRGINIA BEACH   VA      23451   0000    757-451-9072
EVERETT REAL ESTATE LLC                          EVERETT REAL ESTATE LLC                           4621 COLUMBUS ST                       VIRGINIA BEACH   VA      23462   6791    757-291-2269
EVOSCIENT LLC                                    EVOSCIENT LLC                                     1116 WISHART POINT RD                  VIRGINIA BEACH   VA      23455   5536    757-536-2489
                    Owner Name                                 Trade Name
                                                               Virginia                                    Address
                                                                        Beach Business Listings January 2026                        City    State    Zip    Zip+4    Telephone
FADED GROOMING STUDIO LLC                  FADED GROOMING LLC                                1301 OCEANA BLVD STE 107      VIRGINIA BEACH   VA      23454   0000    757-681-7907
FAMILY DENTAL OF VIRGINIA LLC              FAMILY DENTAL OF VIRGINIA LLC                     2704 N MALL DR STE 105        VIRGINIA BEACH   VA      23452   0000    848-455-0030
FARROW CONSTRUCTION AND HOME REPAIRS LLC   FARROW CONSTRUCTION AND HOME REPAIRS LLC          3517 STORM BIRD LOOP          VIRGINIA BEACH   VA      23453   2257    903-399-0108
FEARLESS & FAITHFUL COACHING LLC           FEARLESS & FAITHFUL COACHING LLC                  932 CENTERFIELD PL APT 112    VIRGINIA BEACH   VA      23464   3590    817-936-3069
FENDS, LLC                                 PARIS BAGUETTE                                    638 HILLTOP WEST SC           VIRGINIA BEACH   VA      23451   6124    703-474-4844
FICHER, SCOTT                              FOREVERLAST STICKYS                               4882 EUCLID RD                VIRGINIA BEACH   VA      23462   3850    508-274-2305
FLAVOR SAVOR FOOD TRUCKS LLC               FLAVOR SAVOR CAFE                                 1700 COLLEGE CRES             VIRGINIA BEACH   VA      23453   0000    757-214-3818
FLOCK LLC                                  FLOCK LLC                                         2057 THOMAS BISHOP LN         VIRGINIA BEACH   VA      23454   1129    757-362-2291
FOUR PACK VENTURES LLC                     THE BISCUITRY                                     1211 ATLANTIC AVE             VIRGINIA BEACH   VA      23451   0000    757-705-1847
FREEMAN TERRELL ALLEN                      LUMINEXIA                                         1253 GERANIUM CRES            VIRGINIA BEACH   VA      23453   2822    757-718-7313
FUSION LINX LLC                            FUSION LINX LLC                                   1805 KEMPSVILLE RD            VIRGINIA BEACH   VA      23464   6802    757-376-5909
GALOTIFIORE ELECTRICAL LLC                 MISTER SPARKY                                     341 CLEVELAND PL STE 109      VIRGINIA BEACH   VA      23462   0000    757-409-2543
GARVEY KRISTINE                            KRISTINE GARVEY                                   2033 SMALLBROOKE CT           VIRGINIA BEACH   VA      23454   6358    757-286-8090
GCOPADO INC                                DEL RANCHO RESTAURANTE Y CANTINA                  315 N GREAT NECK RD STE 208   VIRGINIA BEACH   VA      23454   4072    757-717-1617
GIPSON, CARNELIA D                         CARNELIA GIPSON                                   1510 HILL MEADOW CT           VIRGINIA BEACH   VA      23454   4759    757-729-0706
GLLAREVA, MYRVETE                          MIRA HAIR CO                                      619 N BIRDNECK RD             VIRGINIA BEACH   VA      23451   6303    757-632-8066
GLOBAL REACH LEADERSHIP IP, LLC            GLOBAL REACH LEADERSHIP IP, LLC                   4112 BEVAN DR                 VIRGINIA BEACH   VA      23456   1670    757-748-8923
GOYAL, KAPISH                              GOYAL FAMILY MANAGEMENT                           2109 MCCOMAS WAY #101         VIRGINIA BEACH   VA      23456           205-572-1192
GREGORY, MICHAEL D                         POCKET PIRATE CARDS                               4925 FOUNTAIN HALL DR         VIRGINIA BEACH   VA      23464   6316    757-448-8283
GROWING AWARENESS COUNSELING LLC           GROWING AWARENESS COUNSELING LLC                  116 LANDMARK SQ STE 103       VIRGINIA BEACH   VA      23452   6872    757-288-9139
HAMPTON ROADS MASSAGE & BODYWORK LLC       HAMPTON ROADS MASSAGE & BODYWORK                  633 INDEPENDENCE BLVD STE A   VIRGINIA BEACH   VA      23462   2200    385-219-7146
HAPPYMEALS LLC                             OH MY SHAWARMA!                                   1814 ATLANTIC AVE             VIRGINIA BEACH   VA      23451   0000    757-800-7323
HARVEY, DEMETRIUS V                        DEMETRIUS VAHGHN HARVEY                           5315 MAIZE DR                 VIRGINIA BEACH   VA      23464   6168    757-910-2538
HB&P VENTURES LLC                          SKYN RX                                           3502 PACIFIC AVE              VIRGINIA BEACH   VA      23451   0000    757-321-1914
HELOU AND COMPANY LLC                      NEPTUNES SMOKE SHOP                               1996 S INDEPENDENCE BLVD      VIRGINIA BEACH   VA      23453   4700    757-647-9108

